ARCHgutm,Assay,class,pair,6,9,11,14,26,42,46,49,53,54,64,81,89,91,104,106,107,108,121,133,137,138,153,162,174,177,180,181,185,191,196,200,201,202,206,208,209,211,213,214,215,227,229,234,236,239,245,246,280,283,285,294,298,306,309,316,318,328,331,336,338,340,342,355,359,362,363,366,370,372,376,402,404,406,410,412,417,425,428,429,431,432,438,506,507,603,610,700,704,801,804,806,809,812,815,817,819,910,911,1108,1118,1123,1200,1201,1300,1302,1303,1305,1500,1503,1504,1505,1507,1509,1511,1512,1513,1519,1520,1522,1528,1536,1539,1540,1541,1544,1545,1546,1547,1548,1549,1551,1552,1553,1556,1557,1558,1559,1565,1567,1572,1573,1577
B_A,A_M,Mother,1,,3.39E-05,3.71E-05,0.035327345,0.034184993,,,0.002436725,,0.010666317,,3.71E-05,,,4.78E-05,0.030547945,,,,,,,,9.31E-06,0.000268597,,,,0.132609153,0.089718706,,1.06E-05,,,0.00853555,,,,,,4.28E-06,,,5.94E-06,,,3.33E-06,5.90E-06,2.22E-05,4.08E-06,8.45E-06,0.000134322,5.94E-05,3.15E-06,,,,,,,,,,,6.12E-05,,,,3.20E-06,1.08E-05,4.97E-06,1.02E-05,5.69E-06,,4.26E-05,,1.06E-05,,,,0.000570875,,,5.65E-06,5.16E-05,,,,,1.42E-05,0.003662895,3.38E-06,0.003654037,,,0.003232641,,,9.56E-06,1.55E-05,0.000168892,5.05E-06,,0.000233029,5.93E-05,,,,,,0.000102586,,2.19E-05,5.11E-05,0.00016889,6.07E-06,0.003849147,,4.75E-06,,,,0.000113594,0.025274961,,,,,,,,,,,,2.21E-05,,,,,,1.91E-05,
B_A,A_C,Child,1,,0.050085095,0.063875013,,0.038017845,,,,,,5.14E-05,0.072638773,5.59E-06,,,0.096827451,,0.014564984,3.53E-05,0.01199817,,,,,,0.012811191,,0.007513348,0.206529218,0.031248847,,,0.067067791,5.11E-06,0.000825939,0.000759207,1.33E-05,,,,,,,2.32E-05,5.71E-06,2.26E-05,5.66E-06,,4.28E-05,5.89E-06,,,0.066643838,,,,2.10E-05,,,,,,,,0.000468361,,,,,,3.53E-05,7.16E-05,,1.10E-05,0.000300209,,,1.00E-05,,5.96E-06,,,3.79E-06,0.000240008,,,,,4.80E-06,3.81E-05,0.026193287,,0.025669712,2.10E-05,,1.67E-05,,,,2.72E-05,0.000192273,9.55E-06,,0.00272916,0.131150666,0.000188254,7.35E-05,0.000151095,,,,0.006633031,3.97E-06,0.117205232,0.000165613,8.34E-06,4.95E-05,,0.000212943,0.000115528,,3.03E-05,,,,,,0.038904649,,,0.000201653,0.007476666,0.000152966,,7.71E-05,0.0440494,,,,0.066999259,,,
B_B,B_M,Mother,0,1.20E-05,1.34E-05,2.72E-05,0.02035687,0.256566234,8.06E-06,,0.006598641,,0.015441838,,1.45E-05,5.13E-06,2.56E-06,0.000136577,0.612373657,0.004109193,,,,,5.04E-06,1.02E-05,2.41E-05,0.004936135,,,,0.395780142,0.110122611,0.136339909,0.000237039,8.82E-05,,0.001825238,,1.06E-05,2.06E-05,,,,,,1.08E-05,,8.05E-06,2.87E-06,2.01E-05,3.15E-05,,2.61E-05,0.000131197,8.53E-06,3.70E-05,,,,,,,,6.94E-06,4.32E-06,,0.000226132,,,,1.33E-05,2.29E-05,1.21E-05,,1.99E-05,5.21E-06,0.000570089,,7.01E-05,8.90E-06,,,0.00353273,,,6.02E-06,2.60E-05,,,,,2.96E-05,0.091952068,3.09E-05,0.098697693,3.94E-05,0.000156119,0.020212475,5.04E-05,,2.59E-06,,0.000122924,1.14E-05,,,3.27E-05,4.19E-05,8.74E-06,,4.87E-06,,0.002125871,,4.20E-06,1.55E-05,0.000455068,1.79E-05,0.000113782,,2.98E-05,0.000413736,,,2.45E-05,0.029398556,,1.05E-05,,2.46E-05,,,8.68E-06,3.94E-06,3.45E-05,,8.79E-06,4.42E-06,,,1.84E-05,,,,
B_C,C_M,Mother,0,0.0001535,0.063359538,0.045138591,0.007132282,0.26604892,,,0.001042123,,0.005753949,0.000235155,0.068904169,1.49E-06,,0.000148419,0.091845736,,7.93E-05,4.75E-06,8.32E-06,,4.34E-05,4.52E-05,2.24E-06,0.000593412,,,,0.145477055,0.044012597,0.000373016,3.59E-05,0.005406112,7.74E-06,0.000802911,8.65E-05,0.004704495,2.55E-06,0.000311094,0.000326255,4.52E-05,,,2.22E-05,2.69E-06,,1.87E-06,,,4.86E-06,,0.000131062,0.079243838,,0.000228803,,,,,,,,,2.86E-05,3.25E-05,,,0.000101884,1.49E-05,0.00046475,1.96E-05,1.18E-05,,1.01E-05,0.000189344,,7.31E-05,3.14E-05,3.42E-05,2.03E-06,,,1.61E-06,,7.64E-06,,,,4.42E-06,,0.016110759,,0.01698097,7.08E-05,,0.01863125,,,4.93E-05,,0.000473296,6.95E-06,,,0.124787332,,0.00055412,,,,0.00232696,,2.26E-06,0.120924138,0.000149175,,0.000540792,0.001673339,2.60E-06,,,1.25E-05,0.000243239,0.010040538,4.05E-06,,3.88E-05,0.003181358,,4.06E-06,5.89E-05,3.83E-05,2.46E-05,,0.000750266,0.047385995,2.41E-06,,0.000202314,,,2.69E-06,0.000152555
B_D,D_M,Mother,0,,0.026914945,0.030464286,0.003238631,0.094169768,0.000134187,2.95E-06,0.004814947,,0.004473655,9.70E-06,0.031633154,,,2.75E-05,0.062476616,,2.70E-05,,,,3.29E-06,,4.62E-06,0.004879654,,5.11E-06,,0.097845082,0.099187741,1.06E-05,0.000160207,0.155228693,0.056443183,0.001083263,1.77E-05,8.11E-06,,,,9.40E-06,,,,6.71E-06,,,3.12E-06,,1.46E-05,,0.000128014,0.032338063,,,0.021104813,,,,0.046676147,,0.004335758,,5.90E-06,0.029308629,,0.052359501,,,4.74E-05,6.46E-06,1.18E-05,2.09E-05,,7.54E-05,,1.16E-05,6.35E-06,0.004179689,,0.001518132,,,2.74E-06,2.55E-05,0.044041338,,,3.96E-05,1.83E-05,0.069831601,2.53E-05,0.064263371,0.016121001,,0.002926308,0.000381394,,9.73E-06,,8.49E-05,8.31E-06,,0.001457136,0.049599295,4.78E-05,0.005148397,0.000150689,,,0.000323244,5.36E-06,2.07E-05,0.035205418,0.000909811,0.035760452,0.001174692,,,,,1.40E-05,2.41E-05,0.002540227,1.13E-05,,0.004903933,0.10563127,,6.07E-06,0.00032094,3.19E-05,7.61E-06,,0.002420218,0.046845729,,0.054989402,5.59E-06,,6.77E-05,,9.97E-06
B_E,E_M,Mother,2,,0.000383108,0.000356626,0.003586295,0.006167576,,,0.003799706,,0.008858547,,0.000379502,,1.53E-05,0.003094497,0.005199667,0.000120718,,,4.91E-05,,,,8.05E-06,0.003685191,4.43E-05,,,0.009410008,0.082547324,0.005017542,9.25E-06,0.001679622,,0.00350006,,6.39E-05,,1.04E-05,1.41E-05,,,,2.06E-06,,,,,,1.59E-05,,0.000238001,0.000492094,,1.20E-05,,,,,,,,,,7.57E-05,,,,,,3.89E-06,,,1.80E-05,,,,2.35E-06,,,0.001291001,,1.43E-05,9.75E-06,1.21E-05,,,,,,0.003074043,6.05E-06,0.003061213,,,0.001748946,,,1.76E-05,1.74E-06,4.89E-05,2.37E-06,,,0.000361476,2.37E-05,,,,,4.67E-06,,3.87E-06,0.000194932,7.16E-05,0.000222193,0.000745062,,,5.86E-05,,8.54E-06,0.00022589,0.002073758,2.45E-06,,,0.000348748,,2.13E-06,6.99E-05,,6.10E-06,,,,,0.000475122,,6.78E-06,,,
B_E,E_C,Child,2,,0.000309295,0.000356378,0.004001547,0.005803292,,,0.004158411,1.76E-06,0.008996259,,0.000410471,,1.33E-05,0.00327482,0.005225327,0.000131888,,,5.51E-05,,,,1.73E-05,0.003939984,5.48E-05,,,0.009835874,0.078957057,0.00492388,4.92E-06,0.00175816,,0.003752705,,3.90E-05,,9.11E-06,3.66E-05,,,,1.69E-06,,,,,,1.64E-05,,0.0002153,0.000371223,,2.37E-05,,,,,,,,,,0.000103734,,,,,,9.10E-06,,,2.89E-05,5.56E-06,,,,,,0.001501608,,1.64E-05,1.32E-05,3.75E-05,,,,,3.21E-06,0.002693736,8.43E-06,0.003346755,3.25E-06,,0.00202614,,,7.24E-06,8.36E-06,7.75E-05,3.75E-06,,,0.000319714,,,,,,5.15E-06,,8.66E-06,0.000232912,0.000111801,0.00028452,0.000862141,,,,,,0.000246241,0.002402987,,,,0.000498796,,,8.43E-05,,2.88E-05,,,,,0.000533059,,9.88E-06,,,
F,F_M,Mother,3,6.23E-05,0.000165572,0.000219017,0.008471406,0.130893174,,,0.00121903,3.44E-05,0.004156942,5.65E-06,0.000172066,,,0.000132636,0.014912295,,,7.07E-05,,,,,,0.000225629,,,,0.106976528,0.071267742,0.040381598,0.000566882,0.000377939,,0.000759348,,5.34E-05,4.84E-06,,,1.16E-05,,,1.11E-05,,,6.03E-06,1.47E-05,2.61E-05,2.76E-05,7.57E-06,3.19E-05,0.000255449,,,,,,,,,,,,,,,,,1.37E-05,1.03E-05,1.30E-05,8.83E-05,1.02E-05,,6.99E-05,7.76E-05,2.26E-05,,,0.000447524,,,,,,,,,1.37E-05,0.107789511,2.14E-05,0.125804739,,2.86E-06,0.013564928,,,,,0.000594505,2.57E-06,,0.000333829,0.000235935,,,,,,,,5.13E-06,0.000176015,4.21E-05,,0.00100551,,,0.000166335,,2.35E-05,0.000182465,0.009715597,,2.71E-06,2.77E-06,0.000140853,,0.000107432,,,8.40E-05,,,0.000128991,,,,0.000135835,,,
F,F_C,Child,3,1.07E-05,0.001895499,0.002150864,8.31E-06,0.008909575,,,,,,0.000148542,0.0023156,,,,0.00487962,,9.87E-06,6.64E-05,,,,,,5.94E-06,6.27E-06,,,0.004488901,0.004991321,0.004886906,0.000229503,0.004812553,4.70E-05,0.010342749,,0.000647299,,,,5.81E-06,,,4.85E-05,,4.40E-05,1.83E-05,,0.000258818,1.50E-05,,,0.002398722,,,,,,,5.18E-05,,,,,2.93E-05,,5.68E-05,6.88E-06,,0.000288612,,,,4.29E-06,1.65E-05,7.60E-06,,2.55E-05,,2.01E-05,,,8.27E-06,2.89E-05,,,,,,,0.000672922,,0.000559473,,,0.003408957,,,,1.89E-05,,,,0.009310018,0.002939375,7.40E-05,5.58E-05,,,,,,1.42E-05,,0.002324117,,0.000109376,7.88E-06,7.23E-05,3.14E-05,,3.18E-05,,5.71E-06,,,,0.002388917,5.86E-05,,,,0.000601787,1.44E-05,,0.001018094,4.14E-06,,,,,,1.88E-05
